year,doy,date,block,tussock,treatment,collembola_raw,fmites_raw,pmites_raw,volume,dry.weight,collembola,fmites,pmites,bugs
2012,170,2012-06-18,4,I,A.N,206,573,94,1080,58.706,190.7407407,530.5555556,87.03703704,808.3333333
2012,180,2012-06-28,4,I,A.N,89,236,48,588,24.661,151.3605442,401.3605442,81.63265306,634.3537415
2012,191,2012-07-09,4,I,A.N,171,324,49,1296,50.645,131.9444444,250,37.80864198,419.7530864
2012,208,2012-07-26,4,I,A.N,140,314,66,1008,63.061,138.8888889,311.5079365,65.47619048,515.8730159
2012,159,2012-06-07,4,I,C.N,42,97,14,468,16.809,89.74358974,207.2649573,29.91452991,326.9230769
2012,170,2012-06-18,4,I,C.N,227,692,118,768,33.643,295.5729167,901.0416667,153.6458333,1350.260417
2012,180,2012-06-28,4,I,C.N,253,415,67,672,38.978,376.4880952,617.5595238,99.70238095,1093.75
2012,191,2012-07-09,4,I,C.N,81,213,36,784,39.276,103.3163265,271.6836735,45.91836735,420.9183673
2012,208,2012-07-26,4,I,C.N,247,179,35,686,37.933,360.058309,260.9329446,51.02040816,672.0116618
2012,159,2012-06-07,5,I,A.N,32,81,14,728,36.199,43.95604396,111.2637363,19.23076923,174.4505495
2012,170,2012-06-18,5,I,A.N,173,480,73,891,38.285,194.1638608,538.7205387,81.93041526,814.8148148
2012,180,2012-06-28,5,I,A.N,99,328,57,728,47.593,135.989011,450.5494505,78.2967033,664.8351648
2012,191,2012-07-09,5,I,A.N,147,292,47,686,32.363,214.2857143,425.6559767,68.51311953,708.4548105
2012,208,2012-07-26,5,I,A.N,256,471,41,896,45.304,285.7142857,525.6696429,45.75892857,857.1428571
2012,159,2012-06-07,5,I,C.N,37,140,14,693,40.445,53.39105339,202.020202,20.2020202,275.6132756
2012,170,2012-06-18,5,I,C.N,212,321,119,1008,37.312,210.3174603,318.452381,118.0555556,646.8253968
2012,180,2012-06-28,5,I,C.N,106,528,50,840,51.146,126.1904762,628.5714286,59.52380952,814.2857143
2012,191,2012-07-09,5,I,C.N,113,507,23,728,48.083,155.2197802,696.4285714,31.59340659,883.2417582
2012,208,2012-07-26,5,I,C.N,150,362,65,468,37.861,320.5128205,773.5042735,138.8888889,1232.905983
