year,doy,date,block,treatment,tussock,nh4,no3,tfpa,labile,carbohydrate,suspicious,notes
2010,158,6/7/2010,3,A.N,T,18.04345229,2.3,0,20.34345229,,,
2010,158,6/7/2010,3,A.O,I,2.366354398,0,0,2.366354398,,,
2010,158,6/7/2010,3,A.O,T,29.28363568,,0,,,,
2010,158,6/7/2010,3,C.N,I,5.028503097,2.6,0,7.628503097,,,
2010,158,6/7/2010,3,C.N,T,2.366354398,0,0,2.366354398,,,
2010,158,6/7/2010,3,C.O,I,6.803268895,4.11,0.980889387,11.89415828,,,
2010,158,6/7/2010,3,C.O,T,2.366354398,1.39,0,3.756354398,,,
2010,158,6/7/2010,4,A.N,I,1.183177199,0.79,0,1.973177199,,,
2010,158,6/7/2010,4,A.N,T,0.2957943,0,0,0.2957943,,,
2010,158,6/7/2010,4,A.O,I,3.845325897,0,0,3.845325897,,,
2010,158,6/7/2010,4,A.O,T,10.05700619,7.42,0,17.47700619,,,
2010,158,6/7/2010,4,C.N,I,2.662148698,0,0,2.662148698,,,
2010,158,6/7/2010,4,C.N,T,7.690651795,0,0,7.690651795,,,
2010,158,6/7/2010,4,C.O,I,0.2957943,0.19,0,0.4857943,,,
2010,158,6/7/2010,4,C.O,T,0.5915886,0,0,0.5915886,,,
2010,158,6/7/2010,5,A.N,I,10.05700619,2.6,0,12.65700619,,,
2010,158,6/7/2010,5,A.N,T,2.070560099,0.19,0,2.260560099,,,
2010,158,6/7/2010,5,A.O,I,17.15606939,1.39,0,18.54606939,,,
2010,158,6/7/2010,5,A.O,T,4.732708797,8.93,0,13.6627088,,,
2010,158,6/7/2010,5,C.N,I,0.887382899,0,0,0.887382899,,,
2010,158,6/7/2010,5,C.N,T,1.774765799,0,0,1.774765799,,,
2010,158,6/7/2010,5,C.O,I,0,0,0,0,,,
2010,158,6/7/2010,5,C.O,T,1.478971499,0,0,1.478971499,,,
2010,161,6/10/2010,1,A.N,I,0,0,0,0,,,
2010,161,6/10/2010,1,A.N,T,0.855937291,0,0,0.855937291,,,
2010,161,6/10/2010,1,A.O,I,1.711874583,0,0,1.711874583,,,
2010,161,6/10/2010,1,A.O,T,2.853124304,0,0,2.853124304,,,
2010,161,6/10/2010,1,C.N,I,0,0,0.324692923,0.324692923,,,
2010,161,6/10/2010,1,C.N,T,3.709061595,0.87,0,4.579061595,,,
2010,161,6/10/2010,1,C.O,I,0,1.83,0.189404205,2.019404205,,,
2010,161,6/10/2010,1,C.O,T,11.98312208,1.51,0,13.49312208,,,
2010,161,6/10/2010,2,A.N,I,9.415310204,2.15,0.563706199,12.1290164,,,
2010,161,6/10/2010,2,A.N,T,11.69780965,1.83,0,13.52780965,,,
2010,161,6/10/2010,2,A.O,I,1.711874583,0,0,1.711874583,,,
2010,161,6/10/2010,2,A.O,T,9.700622634,0,0,9.700622634,,,
2010,161,6/10/2010,2,C.N,I,4.850311317,0,0,4.850311317,,,
2010,161,6/10/2010,2,C.N,T,0,0,2.543427897,2.543427897,,,
2010,161,6/10/2010,2,C.O,I,7.703435621,0,0,7.703435621,,,
2010,161,6/10/2010,2,C.O,T,9.129997773,1.19,0,10.31999777,,,
2010,161,6/10/2010,3,A.N,I,5.706248608,0.23,0,5.936248608,,,
2010,161,6/10/2010,3,A.N,T,21.68374471,0,0.206903467,21.89064818,,,
2010,161,6/10/2010,3,A.O,I,0,0.87,0,0.87,,,
2010,161,6/10/2010,3,A.O,T,6.5621859,0,0,6.5621859,,,
2010,161,6/10/2010,3,C.N,I,0,5.35,0,5.35,,,
2010,161,6/10/2010,3,C.N,T,17.40405826,0,0,17.40405826,,,
2010,161,6/10/2010,3,C.O,I,0,2.47,0.351750667,2.821750667,,,
2010,161,6/10/2010,3,C.O,T,3.423749165,0,0,3.423749165,,,
2010,161,6/10/2010,4,A.N,I,2.853124304,0,0,2.853124304,,,
2010,161,6/10/2010,4,A.N,T,0.570624861,0,0,0.570624861,,,
2010,161,6/10/2010,4,A.O,I,3.138436735,0,0,3.138436735,,,
2010,161,6/10/2010,4,A.O,T,5.706248608,4.39,0.567121317,10.66336993,,,
2010,161,6/10/2010,4,C.N,I,10.2712475,2.47,0,12.7412475,,,
2010,161,6/10/2010,4,C.N,T,0,0,0.487039385,0.487039385,,,
2010,161,6/10/2010,4,C.O,I,4.850311317,0.23,0,5.080311317,,,
2010,161,6/10/2010,4,C.O,T,0,0.23,0,0.23,,,
2010,161,6/10/2010,5,A.N,I,7.13281076,0,0,7.13281076,,,
2010,161,6/10/2010,5,A.N,T,4.279686456,0,0,4.279686456,,,
2010,161,6/10/2010,5,A.O,I,6.84749833,5.67,0,12.51749833,,,
2010,161,6/10/2010,5,A.O,T,3.709061595,0,0,3.709061595,,,
2010,161,6/10/2010,5,C.N,I,1.711874583,0,0,1.711874583,,,
2010,161,6/10/2010,5,C.N,T,17.11874583,0.23,3.027193387,20.37593922,,,
2010,161,6/10/2010,5,C.O,I,0,2.15,0,2.15,,,
2010,161,6/10/2010,5,C.O,T,1.426562152,0,0,1.426562152,,,
2010,165,6/14/2010,1,A.N,I,3.72722381,0,0,3.72722381,,,
2010,165,6/14/2010,1,A.N,T,3.153804762,7.27,0,10.42380476,,,
2010,165,6/14/2010,1,A.O,I,4.874061905,2.15,0,7.024061905,,,
2010,165,6/14/2010,1,A.O,T,4.300642857,0.23,0,4.530642857,,,
2010,165,6/14/2010,1,C.N,I,18.0627,0,2.805821918,20.86852192,,,
2010,165,6/14/2010,1,C.N,T,3.72722381,0,0,3.72722381,,,
2010,165,6/14/2010,1,C.O,I,21.21650476,0,2.227443213,23.44394797,,,
2010,165,6/14/2010,1,C.O,T,3.72722381,0,0,3.72722381,,,
2010,165,6/14/2010,2,A.N,I,6.0209,0,0,6.0209,,,
2010,165,6/14/2010,2,A.N,T,57.34190477,0,0.823273054,58.16517782,,,
2010,165,6/14/2010,2,A.O,I,2.867095238,1.19,0,4.057095238,,,
2010,165,6/14/2010,2,A.O,T,0,3.11,0,3.11,,,
2010,165,6/14/2010,2,C.N,I,0.573419048,0,0,0.573419048,,,
2010,165,6/14/2010,2,C.N,T,30.1045,0,4.509986922,34.61448692,,,
2010,165,6/14/2010,2,C.O,I,0.573419048,0,0.280546143,0.853965191,,,
2010,165,6/14/2010,2,C.O,T,4.013933334,0,0.078149676,4.09208301,,,
2010,165,6/14/2010,3,A.N,I,4.300642857,0,0,4.300642857,,,
2010,165,6/14/2010,3,A.N,T,18.34940953,0.55,0.325563675,19.22497321,,,
2010,165,6/14/2010,3,A.O,I,2.006966667,1.19,0,3.196966667,,,
2010,165,6/14/2010,3,A.O,T,11.75509048,0,0,11.75509048,,,
2010,165,6/14/2010,3,C.N,I,18.92282857,1.83,0,20.75282857,,,
2010,165,6/14/2010,3,C.N,T,,0,,,,,
2010,165,6/14/2010,3,C.O,I,5.447480953,0.87,0,6.317480953,,,
2010,165,6/14/2010,3,C.O,T,4.587352381,0,0,4.587352381,,,
2010,165,6/14/2010,4,A.N,I,1.433547619,0,0,1.433547619,,,
2010,165,6/14/2010,4,A.N,T,1.146838095,6.31,0,7.456838095,,,
2010,165,6/14/2010,4,A.O,I,5.160771429,5.03,0,10.19077143,,,
2010,165,6/14/2010,4,A.O,T,29.81779048,,0,,,,
2010,165,6/14/2010,4,C.N,I,4.874061905,0,0.679217077,5.553278982,,,
2010,165,6/14/2010,4,C.N,T,18.92282857,0,1.632137952,20.55496652,,,
2010,165,6/14/2010,4,C.O,I,3.72722381,0,0,3.72722381,,,
2010,165,6/14/2010,4,C.O,T,2.867095238,0,0.154858662,3.0219539,,,
2010,165,6/14/2010,5,A.N,I,19.49624762,,0.609351061,,,,
2010,165,6/14/2010,5,A.N,T,2.006966667,4.39,0,6.396966667,,,
2010,165,6/14/2010,5,A.O,I,,1.83,,,,,
2010,165,6/14/2010,5,A.O,T,4.587352381,1.51,0,6.097352381,,,
2010,165,6/14/2010,5,C.N,I,3.153804762,0,2.860202068,6.01400683,,,
2010,165,6/14/2010,5,C.N,T,2.006966667,0,0,2.006966667,,,
2010,165,6/14/2010,5,C.O,I,1.720257143,0,0,1.720257143,,,
2010,165,6/14/2010,5,C.O,T,3.72722381,0,0.506351652,4.233575462,,,
2010,168,6/17/2010,1,A.N,I,2.252114107,0.14,1.696115479,4.088229586,,,
2010,168,6/17/2010,1,A.N,T,3.659685424,0.14,0.097964747,3.897650171,,,
2010,168,6/17/2010,1,A.O,I,0.281514263,0,0.20510996,0.486624223,,,
2010,168,6/17/2010,1,A.O,T,6.474828058,0.75,0,7.224828058,,,
2010,168,6/17/2010,1,C.N,I,1.407571317,0.44,2.102647911,3.950219228,,,
2010,168,6/17/2010,1,C.O,I,,0,,,,,
2010,168,6/17/2010,1,C.O,T,0.84454279,1.06,5.213710284,7.118253074,,,
2010,168,6/17/2010,2,A.N,I,5.067256741,1.98,1.137323496,8.184580237,,,
2010,168,6/17/2010,2,A.N,T,5.630285268,5.37,0.732815355,11.73310062,,,
2010,168,6/17/2010,2,A.O,I,1.126057054,0,1.676594749,2.802651803,,,
2010,168,6/17/2010,2,A.O,T,4.222713951,0,0,4.222713951,,,
2010,168,6/17/2010,2,C.N,I,3.096656897,0,0.488663937,3.585320834,,,
2010,168,6/17/2010,2,C.N,T,8.445427902,7.84,3.626260913,19.91168882,,,
2010,168,6/17/2010,2,C.O,I,0.84454279,0,0.877699932,1.722242722,,,
2010,168,6/17/2010,2,C.O,T,0,0,4.570762504,4.570762504,,,
2010,168,6/17/2010,3,A.N,I,2.815142634,1.37,1.305416289,5.490558923,,,
2010,168,6/17/2010,3,A.N,T,3.659685424,2.91,2.238352022,8.808037446,,,
2010,168,6/17/2010,3,A.O,I,1.970599844,0.75,0.551996908,3.272596752,,,
2010,168,6/17/2010,3,A.O,T,6.193313795,0,0,6.193313795,,,
2010,168,6/17/2010,3,C.N,I,5.630285268,0.44,0,6.070285268,,,
2010,168,6/17/2010,3,C.N,T,4.222713951,0.14,1.350530626,5.713244577,,,
2010,168,6/17/2010,3,C.O,I,1.407571317,2.29,0.970313998,4.667885315,,,
2010,168,6/17/2010,3,C.O,T,5.348771004,1.68,3.952325036,10.98109604,,,
2010,168,6/17/2010,4,A.N,I,2.252114107,0.44,0.646635266,3.338749373,,,
2010,168,6/17/2010,4,A.N,T,0,0,3.203676438,3.203676438,,,
2010,168,6/17/2010,4,A.O,I,5.348771004,1.37,0.01677424,6.735545244,,,
2010,168,6/17/2010,4,A.O,T,2.252114107,0.44,1.005667971,3.697782078,,,
2010,168,6/17/2010,4,C.N,I,5.911799531,1.98,0.095579355,7.987378886,,,
2010,168,6/17/2010,4,C.N,T,8.445427902,4.76,0.574482927,13.77991083,,,
2010,168,6/17/2010,4,C.O,I,1.68908558,0.75,2.390611572,4.829697152,,,
2010,168,6/17/2010,4,C.O,T,3.096656897,0,1.565762049,4.662418946,,,
2010,168,6/17/2010,5,A.N,I,1.407571317,0.44,1.798851008,3.646422325,,,
2010,168,6/17/2010,5,A.N,T,1.970599844,0,2.029554575,4.000154419,,,
2010,168,6/17/2010,5,A.O,I,5.348771004,1.68,0.127245841,7.156016845,,,
2010,168,6/17/2010,5,A.O,T,0.563028527,0,0.106423016,0.669451543,,,
2010,168,6/17/2010,5,C.N,I,4.785742478,1.98,0.642225582,7.40796806,,,
2010,168,6/17/2010,5,C.N,T,1.407571317,1.68,2.82071332,5.908284637,,,
2010,168,6/17/2010,5,C.O,I,4.504228214,0,3.116051954,7.620280168,,,
2010,168,6/17/2010,5,C.O,T,3.941199687,0,0.924477464,4.865677151,,,
2010,172,6/21/2010,1,A.N,I,0,0.75,0,0.75,,,
2010,172,6/21/2010,1,A.N,T,0,0.75,0,0.75,,,
2010,172,6/21/2010,1,A.O,I,1.172788781,0.75,0,1.922788781,,,
2010,172,6/21/2010,1,A.O,T,3.225169148,0.44,0,3.665169148,,,
2010,172,6/21/2010,1,C.N,I,7.916324271,1.06,5.080054054,14.05637833,,,
2010,172,6/21/2010,1,C.N,T,2.052380367,0,0,2.052380367,,,
2010,172,6/21/2010,1,C.O,I,0,0,0,0,,,
2010,172,6/21/2010,1,C.O,T,0.879591586,0.14,0,1.019591586,,,
2010,172,6/21/2010,2,A.N,I,3.225169148,0.75,0,3.975169148,,,
2010,172,6/21/2010,2,A.N,T,6.450338295,0,0.281610676,6.731948971,,,
2010,172,6/21/2010,2,A.O,I,0.293197195,0.14,0,0.433197195,,,
2010,172,6/21/2010,2,A.O,T,2.638774757,2.6,0,5.238774757,,,
2010,172,6/21/2010,2,C.N,I,0,0.14,0,0.14,,,
2010,172,6/21/2010,2,C.N,T,8.502718662,1.68,1.330715427,11.51343409,,,
2010,172,6/21/2010,2,C.O,I,0.58639439,0,0,0.58639439,,,
2010,172,6/21/2010,2,C.O,T,0.879591586,0,0,0.879591586,,,
2010,172,6/21/2010,3,A.N,I,0,0.75,0,0.75,,,
2010,172,6/21/2010,3,A.N,T,1.759183171,0,0,1.759183171,,,
2010,172,6/21/2010,3,A.O,I,0,0.44,0,0.44,,,
2010,172,6/21/2010,3,A.O,T,0.293197195,0.75,0.277290798,1.320487993,,,
2010,172,6/21/2010,3,C.N,I,8.502718662,6.6,4.756862447,19.85958111,,,
2010,172,6/21/2010,3,C.N,T,1.465985976,0,0.367104464,1.83309044,,,
2010,172,6/21/2010,3,C.O,I,2.931971952,0.75,0,3.681971952,,,
2010,172,6/21/2010,3,C.O,T,1.172788781,0,0,1.172788781,,,
2010,172,6/21/2010,4,A.N,I,0,1.06,0,1.06,,,
2010,172,6/21/2010,4,A.N,T,0.293197195,5.68,0,5.973197195,,,
2010,172,6/21/2010,4,A.O,I,3.518366343,1.37,0,4.888366343,,,
2010,172,6/21/2010,4,A.O,T,0.58639439,1.68,0.63952739,2.90592178,,,
2010,172,6/21/2010,4,C.N,I,0,0.14,0.155733955,0.295733955,,,
2010,172,6/21/2010,4,C.N,T,4.691155124,0,0.514988618,5.206143742,,,
2010,172,6/21/2010,4,C.O,I,0.58639439,0,0,0.58639439,,,
2010,172,6/21/2010,4,C.O,T,0,0,0,0,,,
2010,172,6/21/2010,5,A.N,I,5.277549514,4.14,0,9.417549514,,,
2010,172,6/21/2010,5,A.N,T,0,4.76,0,4.76,,,
2010,172,6/21/2010,5,A.O,I,0,5.68,0.283152646,5.963152646,,,
2010,172,6/21/2010,5,A.O,T,0,0,0,0,,,
2010,172,6/21/2010,5,C.N,I,0,1.98,0,1.98,,,
2010,172,6/21/2010,5,C.N,T,0,0,0.268995014,0.268995014,,,
2010,172,6/21/2010,5,C.O,I,5.863943905,1.68,0,7.543943905,,,
2010,172,6/21/2010,5,C.O,T,1.172788781,0,0,1.172788781,,,
2010,175,6/24/2010,1,A.N,I,0,0,0.573784451,0.573784451,,,
2010,175,6/24/2010,1,A.N,T,0,0,0,0,,,
2010,175,6/24/2010,1,A.O,I,4.768168025,0,1.91690936,6.685077385,,,
2010,175,6/24/2010,1,A.O,T,9.006539602,0,0,9.006539602,,,
2010,175,6/24/2010,1,C.N,I,0,0,0.013343824,0.013343824,,,
2010,175,6/24/2010,1,C.N,T,8.741641379,0,0,8.741641379,,,
2010,175,6/24/2010,1,C.O,I,0,0,0.24018884,0.24018884,,,
2010,175,6/24/2010,1,C.O,T,0,0.54,0.346939435,0.886939435,,,
2010,175,6/24/2010,2,A.N,I,2.648982236,2.36,0.731354033,5.740336269,,,
2010,175,6/24/2010,2,A.N,T,4.768168025,0,0.342338076,5.110506101,,,
2010,175,6/24/2010,2,A.O,I,0.794694671,0,0,0.794694671,,,
2010,175,6/24/2010,2,A.O,T,6.357557366,0.23,0.100615449,6.688172815,,,
2010,175,6/24/2010,2,C.N,I,0.794694671,0,0.03926458,0.833959251,,,
2010,175,6/24/2010,2,C.N,T,12.45021651,0,17.5484583,29.99867481,,,
2010,175,6/24/2010,2,C.O,I,0,0,0.186813542,0.186813542,,,
2010,175,6/24/2010,2,C.O,T,2.648982236,0,0.3310393,2.980021536,,,
2010,175,6/24/2010,3,A.N,I,11.12572539,1.14,3.111718413,15.3774438,,,
2010,175,6/24/2010,3,A.N,T,5.827760919,0,0.167845834,5.995606753,,,
2010,175,6/24/2010,3,A.O,I,0,0,0.160125893,0.160125893,,,
2010,175,6/24/2010,3,A.O,T,0.529796447,1.14,0.319740524,1.989536971,,,
2010,175,6/24/2010,3,C.N,I,1.589389342,2.66,0.265342702,4.514732044,,,
2010,175,6/24/2010,3,C.N,T,2.91388046,0,0.30409602,3.21797648,,,
2010,175,6/24/2010,3,C.O,I,5.033066248,0,0.595615109,5.628681357,,,
2010,175,6/24/2010,3,C.O,T,9.536336049,0,0,9.536336049,,,
2010,175,6/24/2010,4,A.N,I,0,0,0.173469718,0.173469718,,,
2010,175,6/24/2010,4,A.N,T,0,0,0.053375298,0.053375298,,,
2010,175,6/24/2010,4,A.O,I,4.503269801,0,0,4.503269801,,,
2010,175,6/24/2010,4,A.O,T,4.238371578,0,17.18275578,21.42112736,,,
2010,175,6/24/2010,4,C.N,I,2.648982236,0,0,2.648982236,,,
2010,175,6/24/2010,4,C.N,T,1.589389342,0,2.266916368,3.85630571,,,
2010,175,6/24/2010,4,C.O,I,4.768168025,0.84,0.195556007,5.803724032,,,
2010,175,6/24/2010,4,C.O,T,1.324491118,0.23,0.212223036,1.766714154,,,
2010,175,6/24/2010,5,A.N,I,0.529796447,0,6.231054751,6.760851198,,,
2010,175,6/24/2010,5,A.N,T,1.589389342,0,0,1.589389342,,,
2010,175,6/24/2010,5,A.O,I,9.006539602,2.36,4.528208852,15.89474845,,,
2010,175,6/24/2010,5,A.O,T,0,0,0.066719122,0.066719122,,,
2010,175,6/24/2010,5,C.N,I,2.119185789,0.54,0,2.659185789,,,
2010,175,6/24/2010,5,C.N,T,0,0,0.080062947,0.080062947,,,
2010,175,6/24/2010,5,C.O,I,7.152252037,0,0.11319238,7.265444417,,,
2010,175,6/24/2010,5,C.O,T,3.70857513,0,0.370048249,4.078623379,,,
2010,179,6/28/2010,1,A.N,I,0,0,0.034662414,0.034662414,,,
2010,179,6/28/2010,1,A.N,T,0,0,0,0,,,
2010,179,6/28/2010,1,A.O,I,0.293184155,0,0.533221967,0.826406122,,,
2010,179,6/28/2010,1,A.O,T,0,0,0,0,,,
2010,179,6/28/2010,1,C.N,I,0,0,0,0,,,
2010,179,6/28/2010,1,C.N,T,0,0,0,0,,,
2010,179,6/28/2010,1,C.O,I,0,0,0.077990431,0.077990431,,,
2010,179,6/28/2010,1,C.O,T,0,0,0,0,,,
2010,179,6/28/2010,2,A.N,I,0,0,0.086656034,0.086656034,,,
2010,179,6/28/2010,2,A.N,T,7.329603881,0,0.566115368,7.895719249,,,
2010,179,6/28/2010,2,A.O,I,0,0,0,0,,,
2010,179,6/28/2010,2,A.O,T,0,0,0.034662414,0.034662414,,,
2010,179,6/28/2010,2,C.N,I,0,0.54,0.043328017,0.583328017,,,
2010,179,6/28/2010,2,C.N,T,0,0,0.095321637,0.095321637,,,
2010,179,6/28/2010,2,C.O,I,0,0,0,0,,,
2010,179,6/28/2010,2,C.O,T,0,0,0.537267411,0.537267411,,,
2010,179,6/28/2010,3,A.N,I,0,0,0.259968102,0.259968102,,,
2010,179,6/28/2010,3,A.N,T,0,0,0.069324827,0.069324827,,,
2010,179,6/28/2010,3,A.O,I,0,0,0.190643275,0.190643275,,,
2010,179,6/28/2010,3,A.O,T,0.879552466,4.18,0.377815822,5.437368288,,,
2010,179,6/28/2010,3,C.N,I,0,0,0.129984051,0.129984051,,,
2010,179,6/28/2010,3,C.N,T,0.879552466,0,0,0.879552466,,,
2010,179,6/28/2010,3,C.O,I,0,0,0,0,,,
2010,179,6/28/2010,3,C.O,T,0.879552466,0,0.317156598,1.196709064,,,
2010,179,6/28/2010,4,A.N,I,0,0,0,0,,,
2010,179,6/28/2010,4,A.N,T,0,1.45,0,1.45,,,
2010,179,6/28/2010,4,A.O,I,0,0,0.190643275,0.190643275,,,
2010,179,6/28/2010,4,A.O,T,0.293184155,,0.550553174,,,,
2010,179,6/28/2010,4,C.N,I,0,0.23,0.02599681,0.25599681,,,
2010,179,6/28/2010,4,C.N,T,1.759104931,0,0.279023456,2.038128387,,,
2010,179,6/28/2010,4,C.O,I,10.55462959,3.57,0.114332126,14.23896172,,,
2010,179,6/28/2010,4,C.O,T,0,0,0.129984051,0.129984051,,,
2010,179,6/28/2010,5,A.N,I,0,0,0.069324827,0.069324827,,,
2010,179,6/28/2010,5,A.N,T,0,2.96,0.138649654,3.098649654,,,
2010,179,6/28/2010,5,A.O,I,0,3.57,0.008665603,3.578665603,,,
2010,179,6/28/2010,5,A.O,T,0,0,0.05199362,0.05199362,,,
2010,179,6/28/2010,5,C.N,I,0,0,0.121318448,0.121318448,,,
2010,179,6/28/2010,5,C.N,T,0,0,0.060659224,0.060659224,,,
2010,179,6/28/2010,5,C.O,I,2.052289087,2.66,0,4.712289087,,,
2010,179,6/28/2010,5,C.O,T,0,0,0,0,,,
2010,181,6/30/2010,1,A.N,I,0,1.16,0.465155392,1.625155392,,,
2010,181,6/30/2010,1,A.N,T,0,0,0,0,,,
2010,181,6/30/2010,1,A.O,I,0,0.22,0,0.22,,,
2010,181,6/30/2010,1,A.O,T,0,0,0,0,,,
2010,181,6/30/2010,1,C.N,I,11.39266729,0,0,11.39266729,,,
2010,181,6/30/2010,1,C.N,T,0,0.53,0,0.53,,,
2010,181,6/30/2010,1,C.O,I,11.67053723,0,0,11.67053723,,,
2010,181,6/30/2010,1,C.O,T,4.445918944,0,1.120558959,5.566477903,,,
2010,181,6/30/2010,2,A.N,I,0.277869934,1.16,0.628636722,2.066506656,,,
2010,181,6/30/2010,2,A.N,T,2.222959472,5.24,0,7.462959472,,,
2010,181,6/30/2010,2,A.O,I,0,0,0,0,,,
2010,181,6/30/2010,2,A.O,T,0,0,0,0,,,
2010,181,6/30/2010,2,C.N,I,6.668878416,0.84,0.002956489,7.511834905,,,
2010,181,6/30/2010,2,C.N,T,13.8934967,0,0.26642487,14.15992157,,,
2010,181,6/30/2010,2,C.O,I,5.835268614,0.22,0,6.055268614,,,
2010,181,6/30/2010,2,C.O,T,0,0,0,0,,,
2010,181,6/30/2010,3,A.N,I,0,0,0,0,,,
2010,181,6/30/2010,3,A.N,T,0,0,0,0,,,
2010,181,6/30/2010,3,A.O,I,0,0,0,0,,,
2010,181,6/30/2010,3,A.O,T,,0,,,,,
2010,181,6/30/2010,3,C.N,I,0.277869934,1.16,0.285307743,1.723177677,,,
2010,181,6/30/2010,3,C.N,T,13.61562677,0,0.180469438,13.79609621,,,
2010,181,6/30/2010,3,C.O,I,5.835268614,0,0.077344045,5.912612659,,,
2010,181,6/30/2010,3,C.O,T,0,0.53,0.022150257,0.552150257,,,
2010,181,6/30/2010,4,A.N,I,0,0,0.764183858,0.764183858,,,
2010,181,6/30/2010,4,A.N,T,0,,0,,,,
2010,181,6/30/2010,4,A.O,I,0,0,0,0,,,
2010,181,6/30/2010,4,A.O,T,,2.1,,,,,
