mantis_id,year,doy,date,block,snow,otc,treatment,n,NDVI,NDVI_stdv,NDVI_se
9735541,2010,150,2010-05-30,2,A,O,A.O,63,0.669920065,1.29E-02,1.63E-03
9735539,2010,150,2010-05-30,3,A,O,A.O,63,0.701019081,1.21E-02,1.52E-03
9735535,2010,150,2010-05-30,4,A,O,A.O,64,0.597519985,1.05E-02,1.31E-03
9735548,2010,150,2010-05-30,5,A,O,A.O,64,0.645893728,1.08E-02,1.35E-03
9735537,2010,150,2010-05-30,1,C,N,C.N,66,0.67609124,6.95E-03,8.56E-04
9735554,2010,150,2010-05-30,2,C,N,C.N,61,0.676137053,7.60E-03,9.73E-04
9735547,2010,150,2010-05-30,3,C,N,C.N,64,0.649876635,9.64E-03,1.20E-03
9735550,2010,150,2010-05-30,4,C,N,C.N,63,0.635490969,1.04E-02,1.31E-03
9735544,2010,150,2010-05-30,5,C,N,C.N,66,0.578457062,9.18E-03,1.13E-03
9735552,2010,150,2010-05-30,1,C,O,C.O,62,0.67885673,1.13E-02,1.43E-03
9735543,2010,150,2010-05-30,2,C,O,C.O,62,0.692741156,1.05E-02,1.33E-03
9735553,2010,150,2010-05-30,3,C,O,C.O,61,0.689507514,9.80E-03,1.25E-03
9735555,2010,150,2010-05-30,4,C,O,C.O,61,0.639900903,9.51E-03,0.001217763
9735546,2010,150,2010-05-30,5,C,O,C.O,62,0.624522376,1.04E-02,1.32E-03
9735534,2010,151,2010-05-31,1,A,N,A.N,14,0.625676649,1.54E-02,4.11E-03
9735538,2010,151,2010-05-31,2,A,N,A.N,10,0.641150574,6.02E-03,1.91E-03
9735545,2010,151,2010-05-31,3,A,N,A.N,15,0.662629964,9.68E-03,2.50E-03
9735536,2010,151,2010-05-31,4,A,N,A.N,15,0.645066863,9.99E-03,2.58E-03
9735542,2010,151,2010-05-31,5,A,N,A.N,15,0.62784221,9.96E-03,2.57E-03
9735551,2010,151,2010-05-31,1,A,O,A.O,12,0.653682943,9.57E-03,2.76E-03
9735541,2010,151,2010-05-31,2,A,O,A.O,12,0.654860701,5.93E-03,1.71E-03
9735539,2010,151,2010-05-31,3,A,O,A.O,15,0.687417339,9.60E-03,2.48E-03
9735535,2010,151,2010-05-31,4,A,O,A.O,15,0.58375376,9.26E-03,2.39E-03
9735548,2010,151,2010-05-31,5,A,O,A.O,15,0.632854381,1.13E-02,2.92E-03
9735537,2010,151,2010-05-31,1,C,N,C.N,13,0.669158856,9.72E-03,2.70E-03
9735554,2010,151,2010-05-31,2,C,N,C.N,12,0.666591371,6.42E-03,1.85E-03
9735547,2010,151,2010-05-31,3,C,N,C.N,13,0.638583264,6.19E-03,1.72E-03
9735550,2010,151,2010-05-31,4,C,N,C.N,14,0.622542562,1.04E-02,2.78E-03
9735544,2010,151,2010-05-31,5,C,N,C.N,13,0.569852578,9.81E-03,2.72E-03
9735552,2010,151,2010-05-31,1,C,O,C.O,12,0.671790914,5.44E-03,1.57E-03
9735543,2010,151,2010-05-31,2,C,O,C.O,12,0.681845193,7.93E-03,2.29E-03
9735553,2010,151,2010-05-31,3,C,O,C.O,13,0.675395081,7.11E-03,1.97E-03
9735555,2010,151,2010-05-31,4,C,O,C.O,14,0.631142827,1.22E-02,3.26E-03
9735546,2010,151,2010-05-31,5,C,O,C.O,13,0.618014482,1.01E-02,2.81E-03
9735534,2010,154,2010-06-03,1,A,N,A.N,49,0.633271987,6.22E-03,8.88E-04
9735538,2010,154,2010-06-03,2,A,N,A.N,48,0.651973381,5.25E-03,7.58E-04
9735545,2010,154,2010-06-03,3,A,N,A.N,41,0.680501315,5.42E-03,8.47E-04
9735536,2010,154,2010-06-03,4,A,N,A.N,49,0.656320095,8.17E-03,1.17E-03
9735542,2010,154,2010-06-03,5,A,N,A.N,48,0.639318928,9.09E-03,1.31E-03
9735551,2010,154,2010-06-03,1,A,O,A.O,44,0.665750289,7.82E-03,1.18E-03
9735541,2010,154,2010-06-03,2,A,O,A.O,46,0.670337082,8.50E-03,1.25E-03
9735539,2010,154,2010-06-03,3,A,O,A.O,38,0.692702653,8.14E-03,1.32E-03
9735535,2010,154,2010-06-03,4,A,O,A.O,46,0.593033847,7.52E-03,1.11E-03
9735548,2010,154,2010-06-03,5,A,O,A.O,48,0.648108935,8.71E-03,1.26E-03
9735537,2010,154,2010-06-03,1,C,N,C.N,44,0.684050752,6.66E-03,1.00E-03
9735554,2010,154,2010-06-03,2,C,N,C.N,44,0.678407913,6.74E-03,1.02E-03
