year,doy,date,block,treatment,subsample,depth
2011,119,2011-04-29,2,C.N,1,25
2011,119,2011-04-29,2,C.N,2,19
2011,119,2011-04-29,2,C.N,3,20
2011,119,2011-04-29,2,C.N,4,42
2011,119,2011-04-29,2,C.N,5,36
2011,119,2011-04-29,2,C.N,6,51
2011,119,2011-04-29,2,C.N,7,31
2011,119,2011-04-29,2,C.N,8,30
2011,119,2011-04-29,2,C.N,9,29
2011,119,2011-04-29,2,C.N,10,42
2011,119,2011-04-29,2,C.N,11,44
2011,119,2011-04-29,2,C.N,12,43
2011,119,2011-04-29,2,A.N,1,45
2011,119,2011-04-29,2,A.N,2,36
2011,119,2011-04-29,2,A.N,3,31
2011,119,2011-04-29,2,A.N,4,64
2011,119,2011-04-29,2,A.N,5,56
2011,119,2011-04-29,2,A.N,6,49
2011,119,2011-04-29,2,A.N,7,30
2011,119,2011-04-29,2,A.N,8,45
2011,119,2011-04-29,2,A.N,9,36
2011,119,2011-04-29,2,A.N,10,36
2011,119,2011-04-29,2,A.N,11,66
2011,119,2011-04-29,2,A.N,12,49
2011,119,2011-04-29,3,C.N,1,43
2011,119,2011-04-29,3,C.N,2,41
2011,119,2011-04-29,3,C.N,3,3
2011,119,2011-04-29,3,C.N,4,18
2011,119,2011-04-29,3,C.N,5,22
2011,119,2011-04-29,3,C.N,6,39
2011,119,2011-04-29,3,C.N,7,40
2011,119,2011-04-29,3,C.N,8,41
2011,119,2011-04-29,3,C.N,9,32
2011,119,2011-04-29,3,C.N,10,41
2011,119,2011-04-29,3,C.N,11,34
2011,119,2011-04-29,3,C.N,12,36
2011,119,2011-04-29,3,A.N,1,30
2011,119,2011-04-29,3,A.N,2,8
2011,119,2011-04-29,3,A.N,3,37
2011,119,2011-04-29,3,A.N,4,45
2011,119,2011-04-29,3,A.N,5,33
2011,119,2011-04-29,3,A.N,6,37
2011,119,2011-04-29,3,A.N,7,41
2011,119,2011-04-29,3,A.N,8,30
2011,119,2011-04-29,3,A.N,9,30
2011,119,2011-04-29,3,A.N,10,40
2011,119,2011-04-29,3,A.N,11,40
2011,119,2011-04-29,3,A.N,12,34
2011,119,2011-04-29,4,A.N,1,41
2011,119,2011-04-29,4,A.N,2,36
2011,119,2011-04-29,4,A.N,3,46
2011,119,2011-04-29,4,A.N,4,30
2011,119,2011-04-29,4,A.N,5,39
2011,119,2011-04-29,4,A.N,6,30
2011,119,2011-04-29,4,A.N,7,29
2011,119,2011-04-29,4,A.N,8,58
2011,119,2011-04-29,4,A.N,9,42
2011,119,2011-04-29,4,A.N,10,38
2011,119,2011-04-29,4,A.N,11,40
2011,119,2011-04-29,4,A.N,12,42
2011,119,2011-04-29,4,C.N,1,38
2011,119,2011-04-29,4,C.N,2,41
2011,119,2011-04-29,4,C.N,3,61
2011,119,2011-04-29,4,C.N,4,57
2011,119,2011-04-29,4,C.N,5,42
2011,119,2011-04-29,4,C.N,6,41
2011,119,2011-04-29,4,C.N,7,63
2011,119,2011-04-29,4,C.N,8,39
2011,119,2011-04-29,4,C.N,9,49
2011,119,2011-04-29,4,C.N,10,41
2011,119,2011-04-29,4,C.N,11,40
2011,119,2011-04-29,4,C.N,12,40
2011,119,2011-04-29,5,C.N,1,28
2011,119,2011-04-29,5,C.N,2,29
2011,119,2011-04-29,5,C.N,3,40
2011,119,2011-04-29,5,C.N,4,30
2011,119,2011-04-29,5,C.N,5,35
2011,119,2011-04-29,5,C.N,6,28
2011,119,2011-04-29,5,C.N,7,28
2011,119,2011-04-29,5,C.N,8,35
2011,119,2011-04-29,5,C.N,9,36
2011,119,2011-04-29,5,C.N,10,30
2011,119,2011-04-29,5,C.N,11,40
2011,119,2011-04-29,5,C.N,12,42
2011,119,2011-04-29,5,A.N,1,30
2011,119,2011-04-29,5,A.N,2,38
2011,119,2011-04-29,5,A.N,3,40
2011,119,2011-04-29,5,A.N,4,40
2011,119,2011-04-29,5,A.N,5,32
2011,119,2011-04-29,5,A.N,6,36
2011,119,2011-04-29,5,A.N,7,32
2011,119,2011-04-29,5,A.N,8,41
2011,119,2011-04-29,5,A.N,9,60
2011,119,2011-04-29,5,A.N,10,41
2011,119,2011-04-29,5,A.N,11,42
2011,119,2011-04-29,5,A.N,12,39
2011,121,2011-05-01,1,A.N,1,5
2011,121,2011-05-01,1,A.N,2,22
2011,121,2011-05-01,1,A.N,3,26
2011,121,2011-05-01,1,A.N,4,18
2011,121,2011-05-01,1,A.N,5,10
2011,121,2011-05-01,1,A.N,6,3
2011,121,2011-05-01,1,A.N,7,16
2011,121,2011-05-01,1,A.N,8,32
2011,121,2011-05-01,1,A.N,9,29
2011,121,2011-05-01,1,A.N,10,30
2011,121,2011-05-01,1,A.N,11,14
2011,121,2011-05-01,1,A.N,12,17
2011,121,2011-05-01,1,C.N,1,45
2011,121,2011-05-01,1,C.N,2,42
2011,121,2011-05-01,1,C.N,3,50
2011,121,2011-05-01,1,C.N,4,48
2011,121,2011-05-01,1,C.N,5,30
2011,121,2011-05-01,1,C.N,6,42
2011,121,2011-05-01,1,C.N,7,35
2011,121,2011-05-01,1,C.N,8,32
2011,121,2011-05-01,1,C.N,9,40
2011,121,2011-05-01,1,C.N,10,51
2011,121,2011-05-01,1,C.N,11,55
2011,121,2011-05-01,1,C.N,12,55
2011,121,2011-05-01,2,C.N,1,35
2011,121,2011-05-01,2,C.N,2,30
2011,121,2011-05-01,2,C.N,3,28
2011,121,2011-05-01,2,C.N,4,25
2011,121,2011-05-01,2,C.N,5,33
2011,121,2011-05-01,2,C.N,6,40
2011,121,2011-05-01,2,C.N,7,23
2011,121,2011-05-01,2,C.N,8,36
2011,121,2011-05-01,2,C.N,9,27
2011,121,2011-05-01,2,C.N,10,42
2011,121,2011-05-01,2,C.N,11,60
2011,121,2011-05-01,2,C.N,12,38
2011,121,2011-05-01,2,A.N,1,18
2011,121,2011-05-01,2,A.N,2,10
2011,121,2011-05-01,2,A.N,3,6
2011,121,2011-05-01,2,A.N,4,40
2011,121,2011-05-01,2,A.N,5,20
2011,121,2011-05-01,2,A.N,6,30
2011,121,2011-05-01,2,A.N,7,12
2011,121,2011-05-01,2,A.N,8,9
2011,121,2011-05-01,2,A.N,9,0
2011,121,2011-05-01,2,A.N,10,18
2011,121,2011-05-01,2,A.N,11,40
2011,121,2011-05-01,2,A.N,12,29
2011,121,2011-05-01,3,C.N,1,36
2011,121,2011-05-01,3,C.N,2,43
2011,121,2011-05-01,3,C.N,3,9
2011,121,2011-05-01,3,C.N,4,34
2011,121,2011-05-01,3,C.N,5,28
2011,121,2011-05-01,3,C.N,6,37
2011,121,2011-05-01,3,C.N,7,32
2011,121,2011-05-01,3,C.N,8,41
2011,121,2011-05-01,3,C.N,9,40
2011,121,2011-05-01,3,C.N,10,42
2011,121,2011-05-01,3,C.N,11,34
2011,121,2011-05-01,3,C.N,12,36
2011,121,2011-05-01,3,A.N,1,5
2011,121,2011-05-01,3,A.N,2,19
2011,121,2011-05-01,3,A.N,3,16
2011,121,2011-05-01,3,A.N,4,16
2011,121,2011-05-01,3,A.N,5,15
2011,121,2011-05-01,3,A.N,6,14
2011,121,2011-05-01,3,A.N,7,0
2011,121,2011-05-01,3,A.N,8,0
2011,121,2011-05-01,3,A.N,9,0
2011,121,2011-05-01,3,A.N,10,24
2011,121,2011-05-01,3,A.N,11,6
2011,121,2011-05-01,3,A.N,12,21
2011,121,2011-05-01,4,A.N,1,13
2011,121,2011-05-01,4,A.N,2,12
2011,121,2011-05-01,4,A.N,3,27
2011,121,2011-05-01,4,A.N,4,20
2011,121,2011-05-01,4,A.N,5,19
2011,121,2011-05-01,4,A.N,6,12
2011,121,2011-05-01,4,A.N,7,29
2011,121,2011-05-01,4,A.N,8,26
2011,121,2011-05-01,4,A.N,9,19
2011,121,2011-05-01,4,A.N,10,15
2011,121,2011-05-01,4,A.N,11,14
2011,121,2011-05-01,4,A.N,12,18
2011,121,2011-05-01,4,C.N,1,31
2011,121,2011-05-01,4,C.N,2,55
2011,121,2011-05-01,4,C.N,3,56
2011,121,2011-05-01,4,C.N,4,55
2011,121,2011-05-01,4,C.N,5,51
2011,121,2011-05-01,4,C.N,6,48
2011,121,2011-05-01,4,C.N,7,53
2011,121,2011-05-01,4,C.N,8,43
2011,121,2011-05-01,4,C.N,9,42
2011,121,2011-05-01,4,C.N,10,40
2011,121,2011-05-01,4,C.N,11,26
2011,121,2011-05-01,4,C.N,12,37
2011,121,2011-05-01,5,C.N,1,18
2011,121,2011-05-01,5,C.N,2,34
2011,121,2011-05-01,5,C.N,3,39
2011,121,2011-05-01,5,C.N,4,32
2011,121,2011-05-01,5,C.N,5,33
2011,121,2011-05-01,5,C.N,6,29
2011,121,2011-05-01,5,C.N,7,27
2011,121,2011-05-01,5,C.N,8,35
2011,121,2011-05-01,5,C.N,9,39
2011,121,2011-05-01,5,C.N,10,32
2011,121,2011-05-01,5,C.N,11,50
2011,121,2011-05-01,5,C.N,12,42
2011,121,2011-05-01,5,A.N,1,0
2011,121,2011-05-01,5,A.N,2,12
2011,121,2011-05-01,5,A.N,3,22
2011,121,2011-05-01,5,A.N,4,23
2011,121,2011-05-01,5,A.N,5,22
2011,121,2011-05-01,5,A.N,6,11
2011,121,2011-05-01,5,A.N,7,9
2011,121,2011-05-01,5,A.N,8,23
2011,121,2011-05-01,5,A.N,9,39
2011,121,2011-05-01,5,A.N,10,27
2011,121,2011-05-01,5,A.N,11,30
2011,121,2011-05-01,5,A.N,12,14
2011,123,2011-05-03,1,A.N,1,0
2011,123,2011-05-03,1,A.N,2,3
2011,123,2011-05-03,1,A.N,3,0
2011,123,2011-05-03,1,A.N,4,4
2011,123,2011-05-03,1,A.N,5,20
2011,123,2011-05-03,1,A.N,6,11
2011,123,2011-05-03,1,A.N,7,12
2011,123,2011-05-03,1,A.N,8,0
2011,123,2011-05-03,1,A.N,9,23
2011,123,2011-05-03,1,A.N,10,15
2011,123,2011-05-03,1,A.N,11,12
2011,123,2011-05-03,1,A.N,12,24
2011,123,2011-05-03,1,C.N,1,48
2011,123,2011-05-03,1,C.N,2,41
2011,123,2011-05-03,1,C.N,3,46
2011,123,2011-05-03,1,C.N,4,42
2011,123,2011-05-03,1,C.N,5,46
2011,123,2011-05-03,1,C.N,6,59
2011,123,2011-05-03,1,C.N,7,26
2011,123,2011-05-03,1,C.N,8,40
2011,123,2011-05-03,1,C.N,9,40
2011,123,2011-05-03,1,C.N,10,61
2011,123,2011-05-03,1,C.N,11,60
2011,123,2011-05-03,1,C.N,12,43
2011,123,2011-05-03,2,C.N,1,36
2011,123,2011-05-03,2,C.N,2,30
2011,123,2011-05-03,2,C.N,3,35
2011,123,2011-05-03,2,C.N,4,32
2011,123,2011-05-03,2,C.N,5,35
2011,123,2011-05-03,2,C.N,6,45
2011,123,2011-05-03,2,C.N,7,43
2011,123,2011-05-03,2,C.N,8,39
2011,123,2011-05-03,2,C.N,9,28
2011,123,2011-05-03,2,C.N,10,44
2011,123,2011-05-03,2,C.N,11,58
2011,123,2011-05-03,2,C.N,12,35
2011,123,2011-05-03,2,A.N,1,0
2011,123,2011-05-03,2,A.N,2,0
2011,123,2011-05-03,2,A.N,3,7
2011,123,2011-05-03,2,A.N,4,30
2011,123,2011-05-03,2,A.N,5,5
2011,123,2011-05-03,2,A.N,6,17
2011,123,2011-05-03,2,A.N,7,4
2011,123,2011-05-03,2,A.N,8,19
2011,123,2011-05-03,2,A.N,9,0
2011,123,2011-05-03,2,A.N,10,0
2011,123,2011-05-03,2,A.N,11,17
2011,123,2011-05-03,2,A.N,12,17
2011,123,2011-05-03,3,C.N,1,45
2011,123,2011-05-03,3,C.N,2,40
2011,123,2011-05-03,3,C.N,3,36
2011,123,2011-05-03,3,C.N,4,16
2011,123,2011-05-03,3,C.N,5,36
2011,123,2011-05-03,3,C.N,6,38
2011,123,2011-05-03,3,C.N,7,35
2011,123,2011-05-03,3,C.N,8,45
2011,123,2011-05-03,3,C.N,9,42
2011,123,2011-05-03,3,C.N,10,42
2011,123,2011-05-03,3,C.N,11,38
2011,123,2011-05-03,3,C.N,12,35
2011,123,2011-05-03,3,A.N,1,1
2011,123,2011-05-03,3,A.N,2,5
2011,123,2011-05-03,3,A.N,3,12
2011,123,2011-05-03,3,A.N,4,10
2011,123,2011-05-03,3,A.N,5,17
2011,123,2011-05-03,3,A.N,6,14
2011,123,2011-05-03,3,A.N,7,0
2011,123,2011-05-03,3,A.N,8,0
2011,123,2011-05-03,3,A.N,9,0
2011,123,2011-05-03,3,A.N,10,16
2011,123,2011-05-03,3,A.N,11,0
2011,123,2011-05-03,3,A.N,12,2
2011,123,2011-05-03,4,A.N,1,0
2011,123,2011-05-03,4,A.N,2,0
2011,123,2011-05-03,4,A.N,3,16
2011,123,2011-05-03,4,A.N,4,12
2011,123,2011-05-03,4,A.N,5,0
2011,123,2011-05-03,4,A.N,6,0
2011,123,2011-05-03,4,A.N,7,26
2011,123,2011-05-03,4,A.N,8,16
2011,123,2011-05-03,4,A.N,9,14
2011,123,2011-05-03,4,A.N,10,16
2011,123,2011-05-03,4,A.N,11,16
2011,123,2011-05-03,4,A.N,12,3
2011,123,2011-05-03,4,C.N,1,32
2011,123,2011-05-03,4,C.N,2,51
2011,123,2011-05-03,4,C.N,3,57
2011,123,2011-05-03,4,C.N,4,48
2011,123,2011-05-03,4,C.N,5,48
2011,123,2011-05-03,4,C.N,6,46
2011,123,2011-05-03,4,C.N,7,46
2011,123,2011-05-03,4,C.N,8,42
2011,123,2011-05-03,4,C.N,9,49
2011,123,2011-05-03,4,C.N,10,42
2011,123,2011-05-03,4,C.N,11,37
2011,123,2011-05-03,4,C.N,12,41
2011,123,2011-05-03,5,C.N,1,20
2011,123,2011-05-03,5,C.N,2,31
2011,123,2011-05-03,5,C.N,3,40
2011,123,2011-05-03,5,C.N,4,42
2011,123,2011-05-03,5,C.N,5,35
2011,123,2011-05-03,5,C.N,6,35
2011,123,2011-05-03,5,C.N,7,34
2011,123,2011-05-03,5,C.N,8,25
2011,123,2011-05-03,5,C.N,9,40
2011,123,2011-05-03,5,C.N,10,23
2011,123,2011-05-03,5,C.N,11,40
2011,123,2011-05-03,5,C.N,12,38
2011,123,2011-05-03,5,A.N,1,0
2011,123,2011-05-03,5,A.N,2,0
2011,123,2011-05-03,5,A.N,3,12
2011,123,2011-05-03,5,A.N,4,10
2011,123,2011-05-03,5,A.N,5,0
2011,123,2011-05-03,5,A.N,6,0
2011,123,2011-05-03,5,A.N,7,12
2011,123,2011-05-03,5,A.N,8,0
2011,123,2011-05-03,5,A.N,9,16
2011,123,2011-05-03,5,A.N,10,23
2011,123,2011-05-03,5,A.N,11,11
2011,123,2011-05-03,5,A.N,12,0
2011,125,2011-05-05,1,C.N,1,48
2011,125,2011-05-05,1,C.N,2,58
2011,125,2011-05-05,1,C.N,3,51
2011,125,2011-05-05,1,C.N,4,42
2011,125,2011-05-05,1,C.N,5,46
2011,125,2011-05-05,1,C.N,6,51
2011,125,2011-05-05,1,C.N,7,24
2011,125,2011-05-05,1,C.N,8,42
2011,125,2011-05-05,1,C.N,9,42
2011,125,2011-05-05,1,C.N,10,50
2011,125,2011-05-05,1,C.N,11,48
2011,125,2011-05-05,1,C.N,12,43
2011,125,2011-05-05,2,C.N,1,37
2011,125,2011-05-05,2,C.N,2,37
2011,125,2011-05-05,2,C.N,3,34
2011,125,2011-05-05,2,C.N,4,31
2011,125,2011-05-05,2,C.N,5,39
2011,125,2011-05-05,2,C.N,6,40
2011,125,2011-05-05,2,C.N,7,28
2011,125,2011-05-05,2,C.N,8,42
2011,125,2011-05-05,2,C.N,9,30
2011,125,2011-05-05,2,C.N,10,46
2011,125,2011-05-05,2,C.N,11,51
2011,125,2011-05-05,2,C.N,12,38
2011,125,2011-05-05,3,C.N,1,41
2011,125,2011-05-05,3,C.N,2,46
2011,125,2011-05-05,3,C.N,3,48
2011,125,2011-05-05,3,C.N,4,30
2011,125,2011-05-05,3,C.N,5,27
2011,125,2011-05-05,3,C.N,6,40
2011,125,2011-05-05,3,C.N,7,38
2011,125,2011-05-05,3,C.N,8,41
2011,125,2011-05-05,3,C.N,9,41
2011,125,2011-05-05,3,C.N,10,41
2011,125,2011-05-05,3,C.N,11,44
2011,125,2011-05-05,3,C.N,12,32
2011,125,2011-05-05,4,C.N,1,35
2011,125,2011-05-05,4,C.N,2,50
2011,125,2011-05-05,4,C.N,3,58
2011,125,2011-05-05,4,C.N,4,47
2011,125,2011-05-05,4,C.N,5,47
2011,125,2011-05-05,4,C.N,6,54
2011,125,2011-05-05,4,C.N,7,49
2011,125,2011-05-05,4,C.N,8,40
2011,125,2011-05-05,4,C.N,9,46
2011,125,2011-05-05,4,C.N,10,44
2011,125,2011-05-05,4,C.N,11,35
2011,125,2011-05-05,4,C.N,12,44
2011,125,2011-05-05,5,C.N,1,23
2011,125,2011-05-05,5,C.N,2,39
2011,125,2011-05-05,5,C.N,3,34
2011,125,2011-05-05,5,C.N,4,35
2011,125,2011-05-05,5,C.N,5,23
2011,125,2011-05-05,5,C.N,6,31
2011,125,2011-05-05,5,C.N,7,30
2011,125,2011-05-05,5,C.N,8,28
2011,125,2011-05-05,5,C.N,9,37
2011,125,2011-05-05,5,C.N,10,30
2011,125,2011-05-05,5,C.N,11,40
2011,125,2011-05-05,5,C.N,12,42
2011,129,2011-05-09,1,C.N,1,46
2011,129,2011-05-09,1,C.N,2,52
2011,129,2011-05-09,1,C.N,3,52
2011,129,2011-05-09,1,C.N,4,40
2011,129,2011-05-09,1,C.N,5,45
2011,129,2011-05-09,1,C.N,6,50
2011,129,2011-05-09,1,C.N,7,29
2011,129,2011-05-09,1,C.N,8,37
2011,129,2011-05-09,1,C.N,9,47
2011,129,2011-05-09,1,C.N,10,51
2011,129,2011-05-09,1,C.N,11,50
2011,129,2011-05-09,1,C.N,12,43
2011,129,2011-05-09,2,C.N,1,39
2011,129,2011-05-09,2,C.N,2,27
2011,129,2011-05-09,2,C.N,3,48
2011,129,2011-05-09,2,C.N,4,35
2011,129,2011-05-09,2,C.N,5,39
2011,129,2011-05-09,2,C.N,6,34
2011,129,2011-05-09,2,C.N,7,42
2011,129,2011-05-09,2,C.N,8,38
2011,129,2011-05-09,2,C.N,9,40
2011,129,2011-05-09,2,C.N,10,40
2011,129,2011-05-09,2,C.N,11,51
2011,129,2011-05-09,2,C.N,12,34
2011,129,2011-05-09,3,C.N,1,46
2011,129,2011-05-09,3,C.N,2,30
2011,129,2011-05-09,3,C.N,3,27
2011,129,2011-05-09,3,C.N,4,25
2011,129,2011-05-09,3,C.N,5,35
2011,129,2011-05-09,3,C.N,6,40
2011,129,2011-05-09,3,C.N,7,35
2011,129,2011-05-09,3,C.N,8,48
2011,129,2011-05-09,3,C.N,9,39
2011,129,2011-05-09,3,C.N,10,45
2011,129,2011-05-09,3,C.N,11,37
2011,129,2011-05-09,3,C.N,12,33
2011,129,2011-05-09,4,C.N,1,18
2011,129,2011-05-09,4,C.N,2,58
2011,129,2011-05-09,4,C.N,3,58
2011,129,2011-05-09,4,C.N,4,47
2011,129,2011-05-09,4,C.N,5,54
2011,129,2011-05-09,4,C.N,6,62
2011,129,2011-05-09,4,C.N,7,50
2011,129,2011-05-09,4,C.N,8,55
2011,129,2011-05-09,4,C.N,9,48
2011,129,2011-05-09,4,C.N,10,43
2011,129,2011-05-09,4,C.N,11,33
2011,129,2011-05-09,4,C.N,12,27
2011,129,2011-05-09,5,C.N,1,43
2011,129,2011-05-09,5,C.N,2,31
2011,129,2011-05-09,5,C.N,3,40
2011,129,2011-05-09,5,C.N,4,40
2011,129,2011-05-09,5,C.N,5,28
2011,129,2011-05-09,5,C.N,6,34
2011,129,2011-05-09,5,C.N,7,44
2011,129,2011-05-09,5,C.N,8,26
2011,129,2011-05-09,5,C.N,9,37
2011,129,2011-05-09,5,C.N,10,17
2011,129,2011-05-09,5,C.N,11,42
2011,129,2011-05-09,5,C.N,12,43
2011,133,2011-05-13,1,C.N,1,46
2011,133,2011-05-13,1,C.N,2,50
2011,133,2011-05-13,1,C.N,3,53
2011,133,2011-05-13,1,C.N,4,40
2011,133,2011-05-13,1,C.N,5,38
2011,133,2011-05-13,1,C.N,6,41
2011,133,2011-05-13,1,C.N,7,38
2011,133,2011-05-13,1,C.N,8,35
2011,133,2011-05-13,1,C.N,9,33
2011,133,2011-05-13,1,C.N,10,41
2011,133,2011-05-13,1,C.N,11,45
2011,133,2011-05-13,1,C.N,12,46
2011,133,2011-05-13,2,C.N,1,27
2011,133,2011-05-13,2,C.N,2,26
2011,133,2011-05-13,2,C.N,3,40
2011,133,2011-05-13,2,C.N,4,26
2011,133,2011-05-13,2,C.N,5,31
2011,133,2011-05-13,2,C.N,6,36
2011,133,2011-05-13,2,C.N,7,39
2011,133,2011-05-13,2,C.N,8,26
2011,133,2011-05-13,2,C.N,9,27
2011,133,2011-05-13,2,C.N,10,51
2011,133,2011-05-13,2,C.N,11,49
2011,133,2011-05-13,2,C.N,12,34
2011,133,2011-05-13,3,C.N,1,36
2011,133,2011-05-13,3,C.N,2,40
2011,133,2011-05-13,3,C.N,3,20
2011,133,2011-05-13,3,C.N,4,0
2011,133,2011-05-13,3,C.N,5,30
2011,133,2011-05-13,3,C.N,6,43
2011,133,2011-05-13,3,C.N,7,34
2011,133,2011-05-13,3,C.N,8,40
2011,133,2011-05-13,3,C.N,9,40
2011,133,2011-05-13,3,C.N,10,39
2011,133,2011-05-13,3,C.N,11,36
2011,133,2011-05-13,3,C.N,12,39
2011,133,2011-05-13,4,C.N,1,36
2011,133,2011-05-13,4,C.N,2,42
2011,133,2011-05-13,4,C.N,3,50
2011,133,2011-05-13,4,C.N,4,40
2011,133,2011-05-13,4,C.N,5,51
2011,133,2011-05-13,4,C.N,6,50
2011,133,2011-05-13,4,C.N,7,42
2011,133,2011-05-13,4,C.N,8,42
2011,133,2011-05-13,4,C.N,9,45
2011,133,2011-05-13,4,C.N,10,40
2011,133,2011-05-13,4,C.N,11,36
2011,133,2011-05-13,4,C.N,12,42
2011,133,2011-05-13,5,C.N,1,32
2011,133,2011-05-13,5,C.N,2,36
2011,133,2011-05-13,5,C.N,3,40
2011,133,2011-05-13,5,C.N,4,42
2011,133,2011-05-13,5,C.N,5,20
2011,133,2011-05-13,5,C.N,6,24
2011,133,2011-05-13,5,C.N,7,35
2011,133,2011-05-13,5,C.N,8,26
2011,133,2011-05-13,5,C.N,9,26
2011,133,2011-05-13,5,C.N,10,26
2011,133,2011-05-13,5,C.N,11,33
2011,133,2011-05-13,5,C.N,12,49
2011,137,2011-05-17,1,C.N,1,41
2011,137,2011-05-17,1,C.N,2,39
2011,137,2011-05-17,1,C.N,3,38
2011,137,2011-05-17,1,C.N,4,35
2011,137,2011-05-17,1,C.N,5,26
2011,137,2011-05-17,1,C.N,6,26
2011,137,2011-05-17,1,C.N,7,22
2011,137,2011-05-17,1,C.N,8,20
2011,137,2011-05-17,1,C.N,9,31
2011,137,2011-05-17,1,C.N,10,35
2011,137,2011-05-17,1,C.N,11,45
2011,137,2011-05-17,1,C.N,12,42
2011,137,2011-05-17,2,C.N,1,21
2011,137,2011-05-17,2,C.N,2,22
2011,137,2011-05-17,2,C.N,3,34
2011,137,2011-05-17,2,C.N,4,25
2011,137,2011-05-17,2,C.N,5,25
2011,137,2011-05-17,2,C.N,6,30
2011,137,2011-05-17,2,C.N,7,26
2011,137,2011-05-17,2,C.N,8,26
2011,137,2011-05-17,2,C.N,9,40
2011,137,2011-05-17,2,C.N,10,34
2011,137,2011-05-17,2,C.N,11,36
2011,137,2011-05-17,2,C.N,12,30
2011,137,2011-05-17,3,C.N,1,29
2011,137,2011-05-17,3,C.N,2,28
2011,137,2011-05-17,3,C.N,3,0
2011,137,2011-05-17,3,C.N,4,0
2011,137,2011-05-17,3,C.N,5,0
2011,137,2011-05-17,3,C.N,6,25
2011,137,2011-05-17,3,C.N,7,24
2011,137,2011-05-17,3,C.N,8,34
2011,137,2011-05-17,3,C.N,9,27
2011,137,2011-05-17,3,C.N,10,40
