mantis_id,year,doy,date,block,snow,otc,treatment,air_temp_min,air_temp_mean,air_temp_max,relative_humidity
9735539,2010,137,2010-05-17,3,A,O,A.O,-4.439,9.236152778,24.75,65.37361111
9735535,2010,137,2010-05-17,4,A,O,A.O,-4.53,8.302313889,21.963,65.62625
9735551,2010,137,2010-05-17,1,A,O,A.O,-4.408,8.255883333,24.968,66.32638889
9735541,2010,137,2010-05-17,2,A,O,A.O,-4.651,7.985379167,23.064,67.20847222
9735542,2010,137,2010-05-17,5,A,N,A.N,-4.621,4.441288889,12.751,75.5075
9735534,2010,137,2010-05-17,1,A,N,A.N,-4.743,4.348033333,13.642,76.145
9735545,2010,137,2010-05-17,3,A,N,A.N,-4.743,4.252672222,13.016,76.45152778
9735536,2010,137,2010-05-17,4,A,N,A.N,-4.621,4.176676389,12.582,76.75833333
9735538,2010,137,2010-05-17,2,A,N,A.N,-4.804,4.184972222,13.858,76.79666667
9735539,2010,138,2010-05-18,3,A,O,A.O,-6.452,2.046452778,15.127,80.51319444
9735535,2010,138,2010-05-18,4,A,O,A.O,-6.483,1.561155556,14.002,80.64958333
9735551,2010,138,2010-05-18,1,A,O,A.O,-6.547,1.460370833,13.401,81.04930556
9735548,2010,138,2010-05-18,5,A,O,A.O,-6.515,1.048361111,12.63,81.60694444
9735541,2010,138,2010-05-18,2,A,O,A.O,-6.61,0.916005556,11.467,82.30791667
9735542,2010,138,2010-05-18,5,A,N,A.N,-6.388,-1.286180556,5.076,89.25986111
9735538,2010,138,2010-05-18,2,A,N,A.N,-6.61,-1.240148611,5.924,89.39625
9735545,2010,138,2010-05-18,3,A,N,A.N,-6.547,-1.381575,5.745,89.86777778
9735536,2010,138,2010-05-18,4,A,N,A.N,-6.42,-1.391515278,4.844,89.91055556
9735534,2010,138,2010-05-18,1,A,N,A.N,-6.61,-1.432479167,5.949,90.17097222
9735553,2010,138,2010-05-18,3,C,O,C.O,-6.483,-5.519533333,-4.59,94.84166667
9735543,2010,138,2010-05-18,2,C,O,C.O,-6.547,-5.530983333,-4.469,94.975
9735555,2010,138,2010-05-18,4,C,O,C.O,-6.483,-5.742,-4.895,95.29
9735546,2010,138,2010-05-18,5,C,O,C.O,-6.42,-5.493083333,-4.53,95.29833333
9735552,2010,138,2010-05-18,1,C,O,C.O,-6.642,-5.509733333,-4.348,95.39
9735550,2010,138,2010-05-18,4,C,N,C.N,-4.197,-3.560883333,-3.035,95.85666667
9735537,2010,138,2010-05-18,1,C,N,C.N,-6.642,-5.673766667,-4.834,95.89666667
9735554,2010,138,2010-05-18,2,C,N,C.N,-6.547,-5.697316667,-4.895,96.38333333
9735547,2010,138,2010-05-18,3,C,N,C.N,-6.42,-5.5958,-4.804,96.40833333
9735544,2010,138,2010-05-18,5,C,N,C.N,-6.357,-5.620966667,-4.834,96.665
9735553,2010,139,2010-05-19,3,C,O,C.O,-6.452,6.433259722,18.01,67.56902778
9735546,2010,139,2010-05-19,5,C,O,C.O,-6.357,6.095311111,16.63,68.71597222
9735552,2010,139,2010-05-19,1,C,O,C.O,-6.515,6.331281944,16.32,69.22569444
9735535,2010,139,2010-05-19,4,A,O,A.O,-6.515,5.560809722,17.463,69.65958333
9735539,2010,139,2010-05-19,3,A,O,A.O,-6.452,6.037655556,17.891,69.89902778
9735543,2010,139,2010-05-19,2,C,O,C.O,-6.547,5.201363889,14.601,70.31791667
9735548,2010,139,2010-05-19,5,A,O,A.O,-6.547,5.302130556,17.51,70.37958333
9735551,2010,139,2010-05-19,1,A,O,A.O,-6.357,4.979475,16.225,71.68291667
9735541,2010,139,2010-05-19,2,A,O,A.O,-6.642,4.6264875,15.414,72.97763889
9735555,2010,139,2010-05-19,4,C,O,C.O,-6.357,3.856406944,16.987,73.71013889
9735542,2010,139,2010-05-19,5,A,N,A.N,-6.262,1.290304167,8.643,82.40875
9735538,2010,139,2010-05-19,2,A,N,A.N,-6.515,1.351734722,7.97,83.18291667
9735536,2010,139,2010-05-19,4,A,N,A.N,-6.452,1.192708333,7.469,83.39125
9735547,2010,139,2010-05-19,3,C,N,C.N,-6.388,1.1033125,8.17,83.57861111
9735545,2010,139,2010-05-19,3,A,N,A.N,-6.547,1.1633,7.945,83.63013889
9735537,2010,139,2010-05-19,1,C,N,C.N,-6.515,0.953305556,7.318,83.67819444
9735534,2010,139,2010-05-19,1,A,N,A.N,-6.452,1.083384722,8.145,83.94902778
9735554,2010,139,2010-05-19,2,C,N,C.N,-6.452,0.825840278,7.745,84.06444444
9735544,2010,139,2010-05-19,5,C,N,C.N,-6.294,1.097080556,8.07,84.08527778
9735550,2010,139,2010-05-19,4,C,N,C.N,-6.325,1.862770833,15.796,86.01305556
9735553,2010,140,2010-05-20,3,C,O,C.O,-7.058,5.240191667,16.654,69.98208333
9735535,2010,140,2010-05-20,4,A,O,A.O,-6.994,4.105451389,14.409,71.60722222
9735546,2010,140,2010-05-20,5,C,O,C.O,-6.834,4.631809722,16.153,71.76652778
9735552,2010,140,2010-05-20,1,C,O,C.O,-7.026,5.0378375,16.915,71.7975
9735543,2010,140,2010-05-20,2,C,O,C.O,-6.962,4.160176389,14.864,72.37597222
9735539,2010,140,2010-05-20,3,A,O,A.O,-7.122,4.633952778,16.153,72.58819444
9735548,2010,140,2010-05-20,5,A,O,A.O,-7.026,3.627620833,14.266,73.05736111
9735551,2010,140,2010-05-20,1,A,O,A.O,-6.93,3.768827778,14.026,73.78333333
9735555,2010,140,2010-05-20,4,C,O,C.O,-6.898,3.612045833,14.96,73.99902778
9735541,2010,140,2010-05-20,2,A,O,A.O,-7.09,2.546151389,11.856,77.28041667
9735538,2010,140,2010-05-20,2,A,N,A.N,-6.93,-0.114193056,5.693,86.05263889
9735545,2010,140,2010-05-20,3,A,N,A.N,-6.93,-0.268773611,5.282,86.46263889
9735542,2010,140,2010-05-20,5,A,N,A.N,-6.674,-0.494844444,4.895,86.51569444
9735537,2010,140,2010-05-20,1,C,N,C.N,-6.834,-0.394252778,5.385,86.55069444
9735536,2010,140,2010-05-20,4,A,N,A.N,-6.802,-0.283408333,4.688,86.5875
9735554,2010,140,2010-05-20,2,C,N,C.N,-6.866,-0.465979167,5.796,86.67166667
9735550,2010,140,2010-05-20,4,C,N,C.N,-6.706,-0.304202778,6.102,86.6725
9735547,2010,140,2010-05-20,3,C,N,C.N,-6.738,-0.220048611,6.687,86.67527778
9735534,2010,140,2010-05-20,1,A,N,A.N,-6.802,-0.477723611,5.462,87.42444444
9735544,2010,140,2010-05-20,5,C,N,C.N,-6.61,-0.385141667,5.488,87.53847222
9735535,2010,141,2010-05-21,4,A,O,A.O,-5.791,7.915809722,22.561,69.60694444
9735553,2010,141,2010-05-21,3,C,O,C.O,-5.729,7.598444444,21.748,70.71805556
9735546,2010,141,2010-05-21,5,C,O,C.O,-5.542,7.657425,21.056,70.85277778
9735548,2010,141,2010-05-21,5,A,O,A.O,-5.823,7.716138889,20.698,70.88527778
9735555,2010,141,2010-05-21,4,C,O,C.O,-5.76,7.5543625,20.627,70.94513889
9735552,2010,141,2010-05-21,1,C,O,C.O,-5.605,7.6824625,22.178,71.01791667
9735543,2010,141,2010-05-21,2,C,O,C.O,-5.636,7.254931944,20.436,71.22458333
9735539,2010,141,2010-05-21,3,A,O,A.O,-5.791,8.263456944,22.25,72.23
9735551,2010,141,2010-05-21,1,A,O,A.O,-5.76,7.105204167,21.652,72.72791667
9735541,2010,141,2010-05-21,2,A,O,A.O,-5.729,6.652580556,17.677,73.03291667
9735542,2010,141,2010-05-21,5,A,N,A.N,-5.854,3.776593056,10.614,80.96527778
9735544,2010,141,2010-05-21,5,C,N,C.N,-5.791,3.966052778,11.151,81.41513889
9735554,2010,141,2010-05-21,2,C,N,C.N,-5.948,3.650830556,10.443,81.62763889
9735547,2010,141,2010-05-21,3,C,N,C.N,-5.823,3.828648611,11.005,81.65930556
9735537,2010,141,2010-05-21,1,C,N,C.N,-5.916,3.480026389,10.149,82.19902778
9735550,2010,141,2010-05-21,4,C,N,C.N,-5.823,3.648275,10.761,82.50555556
9735534,2010,141,2010-05-21,1,A,N,A.N,-5.979,3.501118056,10.467,82.55625
9735536,2010,141,2010-05-21,4,A,N,A.N,-5.885,3.269602778,9.78,83.19513889
9735538,2010,141,2010-05-21,2,A,N,A.N,-5.979,3.267545833,10.614,83.31597222
9735545,2010,141,2010-05-21,3,A,N,A.N,-5.948,3.176097222,9.682,83.86305556
9735535,2010,142,2010-05-22,4,A,O,A.O,0.825,11.11879583,23.497,64.74125
9735543,2010,142,2010-05-22,2,C,O,C.O,0.797,10.86064722,23.833,65.30625
9735546,2010,142,2010-05-22,5,C,O,C.O,0.715,10.67595694,23.16,66.22569444
9735548,2010,142,2010-05-22,5,A,O,A.O,0.77,10.86466111,23.472,66.26027778
9735553,2010,142,2010-05-22,3,C,O,C.O,0.742,10.63740694,22.082,66.69333333
9735541,2010,142,2010-05-22,2,A,O,A.O,0.77,10.94892361,24.436,66.71152778
9735555,2010,142,2010-05-22,4,C,O,C.O,0.77,10.56045,23.016,66.76652778
9735552,2010,142,2010-05-22,1,C,O,C.O,0.797,10.87140417,23.593,66.77263889
9735550,2010,142,2010-05-22,4,C,N,C.N,1.071,9.23905,16.725,67.41972222
9735554,2010,142,2010-05-22,2,C,N,C.N,1.044,9.2692625,16.511,67.4375
9735544,2010,142,2010-05-22,5,C,N,C.N,1.126,9.247468056,16.201,67.48208333
9735542,2010,142,2010-05-22,5,A,N,A.N,1.044,9.331134722,16.749,67.48361111
9735537,2010,142,2010-05-22,1,C,N,C.N,1.044,9.189122222,16.749,67.60944444
9735547,2010,142,2010-05-22,3,C,N,C.N,1.017,9.148379167,16.725,67.88333333
9735534,2010,142,2010-05-22,1,A,N,A.N,1.071,9.232640278,16.201,67.92569444
9735536,2010,142,2010-05-22,4,A,N,A.N,1.071,9.174683333,16.201,67.97652778
9735538,2010,142,2010-05-22,2,A,N,A.N,1.071,9.152280556,16.534,68.07263889
9735545,2010,142,2010-05-22,3,A,N,A.N,1.071,9.170886111,16.796,68.36819444
9735539,2010,142,2010-05-22,3,A,O,A.O,0.742,10.54118194,22.489,68.59625
9735551,2010,142,2010-05-22,1,A,O,A.O,0.715,10.37486806,22.92,68.76458333
9735543,2010,143,2010-05-23,2,C,O,C.O,3.958,10.92362917,20.746,67.54333333
9735546,2010,143,2010-05-23,5,C,O,C.O,3.932,10.90432361,20.627,67.70972222
9735535,2010,143,2010-05-23,4,A,O,A.O,3.827,10.94292083,20.579,67.73166667
9735554,2010,143,2010-05-23,2,C,N,C.N,4.402,9.820305556,16.201,67.81638889
9735537,2010,143,2010-05-23,1,C,N,C.N,4.558,9.858293056,16.558,67.85125
9735550,2010,143,2010-05-23,4,C,N,C.N,3.775,9.848518056,16.463,67.9475
9735544,2010,143,2010-05-23,5,C,N,C.N,4.194,9.839711111,16.296,67.99708333
9735534,2010,143,2010-05-23,1,A,N,A.N,4.61,9.786665278,15.891,68.19416667
9735538,2010,143,2010-05-23,2,A,N,A.N,4.35,9.804697222,16.368,68.21722222
9735536,2010,143,2010-05-23,4,A,N,A.N,3.775,9.846272222,16.392,68.21986111
9735547,2010,143,2010-05-23,3,C,N,C.N,4.324,9.8046375,16.034,68.24680556
9735552,2010,143,2010-05-23,1,C,O,C.O,4.089,11.04525,21.843,68.26708333
9735542,2010,143,2010-05-23,5,A,N,A.N,4.428,9.775047222,16.177,68.38097222
9735553,2010,143,2010-05-23,3,C,O,C.O,3.985,10.74009722,21.342,68.40930556
9735545,2010,143,2010-05-23,3,A,N,A.N,4.22,9.806761111,15.986,68.59138889
9735555,2010,143,2010-05-23,4,C,O,C.O,3.749,10.5782375,20.079,68.60152778
9735548,2010,143,2010-05-23,5,A,O,A.O,3.958,10.65307639,21.103,68.61097222
9735541,2010,143,2010-05-23,2,A,O,A.O,3.827,10.968775,21.008,68.84055556
9735551,2010,143,2010-05-23,1,A,O,A.O,3.854,10.64269722,19.841,69.51083333
9735539,2010,143,2010-05-23,3,A,O,A.O,3.906,10.60359167,20.412,69.91555556
9735552,2010,144,2010-05-24,1,C,O,C.O,0.605,13.16736944,25.186,64.31513889
9735543,2010,144,2010-05-24,2,C,O,C.O,0.439,12.38475417,23.905,64.54888889
9735546,2010,144,2010-05-24,5,C,O,C.O,0.55,12.58960417,24.484,64.93861111
9735555,2010,144,2010-05-24,4,C,O,C.O,0.273,12.1712,25.89,64.97875
9735553,2010,144,2010-05-24,3,C,O,C.O,0.55,12.59474444,25.477,65.06222222
9735548,2010,144,2010-05-24,5,A,O,A.O,0.273,11.98505278,24.605,65.56041667
9735535,2010,144,2010-05-24,4,A,O,A.O,0.246,11.64382361,23.064,65.95888889
9735541,2010,144,2010-05-24,2,A,O,A.O,0.329,11.74422222,23.665,66.24888889
9735551,2010,144,2010-05-24,1,A,O,A.O,0.301,11.81064861,22.968,66.94291667
9735539,2010,144,2010-05-24,3,A,O,A.O,0.384,12.12944167,24.798,67.37472222
9735554,2010,144,2010-05-24,2,C,N,C.N,1.099,9.703245833,17.153,68.89208333
9735544,2010,144,2010-05-24,5,C,N,C.N,1.044,9.749918056,16.725,69.28
9735537,2010,144,2010-05-24,1,C,N,C.N,1.425,9.588173611,16.82,69.345
9735534,2010,144,2010-05-24,1,A,N,A.N,1.453,9.648598611,17.082,69.47138889
9735542,2010,144,2010-05-24,5,A,N,A.N,0.77,9.591295833,16.701,69.52513889
9735550,2010,144,2010-05-24,4,C,N,C.N,0.852,9.580722222,16.558,69.53305556
9735547,2010,144,2010-05-24,3,C,N,C.N,1.18,9.649743056,17.153,69.76125
9735538,2010,144,2010-05-24,2,A,N,A.N,1.153,9.542408333,17.106,69.90569444
9735545,2010,144,2010-05-24,3,A,N,A.N,1.071,9.547927778,17.13,70.05916667
9735536,2010,144,2010-05-24,4,A,N,A.N,1.099,9.452473611,16.558,70.09541667
9735543,2010,145,2010-05-25,2,C,O,C.O,-0.339,11.29815972,24.122,66.15333333
9735546,2010,145,2010-05-25,5,C,O,C.O,-0.367,11.44042639,24.339,66.45597222
9735548,2010,145,2010-05-25,5,A,O,A.O,-0.423,11.01781944,23.256,66.64152778
9735553,2010,145,2010-05-25,3,C,O,C.O,-0.255,11.39827917,25.016,66.69819444
9735552,2010,145,2010-05-25,1,C,O,C.O,-0.367,11.59927778,25.695,66.80916667
9735555,2010,145,2010-05-25,4,C,O,C.O,-0.451,10.89294306,24.195,67.09013889
9735535,2010,145,2010-05-25,4,A,O,A.O,-0.255,10.85797361,23.04,67.30472222
9735541,2010,145,2010-05-25,2,A,O,A.O,-0.591,10.76987361,21.891,67.755
9735551,2010,145,2010-05-25,1,A,O,A.O,-0.311,10.80141806,22.274,68.45583333
9735554,2010,145,2010-05-25,2,C,N,C.N,0.218,9.621491667,17.463,68.48333333
9735537,2010,145,2010-05-25,1,C,N,C.N,0.163,9.578620833,17.011,68.62791667
9735544,2010,145,2010-05-25,5,C,N,C.N,0.356,9.676202778,17.177,68.74486111
9735547,2010,145,2010-05-25,3,C,N,C.N,0.356,9.657394444,17.415,68.77361111
9735550,2010,145,2010-05-25,4,C,N,C.N,0.329,9.579734722,16.939,68.78319444
9735539,2010,145,2010-05-25,3,A,O,A.O,-0.367,10.92777778,23.448,68.82888889
9735534,2010,145,2010-05-25,1,A,N,A.N,0.356,9.570545833,16.987,68.97291667
9735542,2010,145,2010-05-25,5,A,N,A.N,0.356,9.532490278,16.272,68.99902778
9735538,2010,145,2010-05-25,2,A,N,A.N,0.163,9.516338889,17.32,69.10847222
9735536,2010,145,2010-05-25,4,A,N,A.N,0.246,9.485258333,16.773,69.19388889
9735545,2010,145,2010-05-25,3,A,N,A.N,0.218,9.437944444,16.487,69.58777778
9735543,2010,146,2010-05-26,2,C,O,C.O,0.77,14.51627361,25.72,56.51861111
9735544,2010,146,2010-05-26,5,C,N,C.N,1.832,12.89,20.793,56.8325
9735554,2010,146,2010-05-26,2,C,N,C.N,1.099,12.78455278,20.341,56.84888889
9735537,2010,146,2010-05-26,1,C,N,C.N,1.208,12.757275,20.484,56.97222222
9735550,2010,146,2010-05-26,4,C,N,C.N,1.453,12.77763194,20.603,57.00486111
9735535,2010,146,2010-05-26,4,A,O,A.O,0.907,13.98694583,24.677,57.05305556
9735548,2010,146,2010-05-26,5,A,O,A.O,1.262,14.19101667,25.841,57.23041667
9735534,2010,146,2010-05-26,1,A,N,A.N,1.235,12.78696667,20.531,57.29138889
9735547,2010,146,2010-05-26,3,C,N,C.N,1.099,12.79380556,20.936,57.34611111
9735542,2010,146,2010-05-26,5,A,N,A.N,1.832,12.78690139,20.222,57.35902778
9735538,2010,146,2010-05-26,2,A,N,A.N,1.208,12.73421528,20.436,57.47597222
9735546,2010,146,2010-05-26,5,C,O,C.O,1.371,14.47772778,26.207,57.55847222
9735536,2010,146,2010-05-26,4,A,N,A.N,1.317,12.65188611,20.198,57.66277778
9735545,2010,146,2010-05-26,3,A,N,A.N,0.989,12.81379861,21.795,57.79430556
9735552,2010,146,2010-05-26,1,C,O,C.O,0.907,14.7762625,26.646,57.86194444
9735553,2010,146,2010-05-26,3,C,O,C.O,0.88,14.46212778,26.426,57.97138889
9735555,2010,146,2010-05-26,4,C,O,C.O,0.989,14.0975625,26.622,58.00194444
9735541,2010,146,2010-05-26,2,A,O,A.O,0.687,13.73901389,24.098,58.92833333
9735539,2010,146,2010-05-26,3,A,O,A.O,0.605,13.91183472,25.866,59.65402778
9735551,2010,146,2010-05-26,1,A,O,A.O,0.77,13.69371667,24.146,59.75125
9735550,2010,147,2010-05-27,4,C,N,C.N,5.77,14.94906944,23.328,42.87861111
9735544,2010,147,2010-05-27,5,C,N,C.N,5.796,14.93700278,23.521,42.92541667
9735554,2010,147,2010-05-27,2,C,N,C.N,5.668,14.87792917,23.112,43.2325
9735537,2010,147,2010-05-27,1,C,N,C.N,5.668,14.78960833,23.232,43.34138889
9735536,2010,147,2010-05-27,4,A,N,A.N,5.642,14.86064167,23.136,43.59402778
9735542,2010,147,2010-05-27,5,A,N,A.N,5.616,14.8702125,23.448,43.61569444
9735534,2010,147,2010-05-27,1,A,N,A.N,5.745,14.80578472,23.424,43.62361111
9735547,2010,147,2010-05-27,3,C,N,C.N,5.565,14.84215972,23.978,43.82
9735538,2010,147,2010-05-27,2,A,N,A.N,5.565,14.82191528,23.328,43.88986111
9735545,2010,147,2010-05-27,3,A,N,A.N,5.539,14.84447361,23.881,44.10194444
9735535,2010,147,2010-05-27,4,A,O,A.O,5.128,16.20967083,28.493,44.70152778
9735543,2010,147,2010-05-27,2,C,O,C.O,5.257,16.49818333,29.515,45.13569444
9735548,2010,147,2010-05-27,5,A,O,A.O,5.231,16.3712125,28.617,45.30819444
9735546,2010,147,2010-05-27,5,C,O,C.O,5.385,16.54264444,31.153,45.61388889
9735555,2010,147,2010-05-27,4,C,O,C.O,5.076,16.2297125,28.841,46.21930556
9735552,2010,147,2010-05-27,1,C,O,C.O,5.334,16.45672222,30.672,46.68388889
9735553,2010,147,2010-05-27,3,C,O,C.O,5.257,16.26460833,29.464,46.96986111
9735541,2010,147,2010-05-27,2,A,O,A.O,4.947,15.95502083,29.64,47.26611111
9735539,2010,147,2010-05-27,3,A,O,A.O,5.05,15.80132361,28.122,47.975
9735551,2010,147,2010-05-27,1,A,O,A.O,5.05,15.6279875,28.742,48.53041667
9735546,2010,148,2010-05-28,5,C,O,C.O,1.994,10.04204028,24.122,68.68930556
9735552,2010,148,2010-05-28,1,C,O,C.O,2.021,9.968963889,23.881,69.43819444
9735543,2010,148,2010-05-28,2,C,O,C.O,1.94,9.671875,23.93,69.72083333
9735553,2010,148,2010-05-28,3,C,O,C.O,1.94,9.695356944,23.256,70.07958333
9735548,2010,148,2010-05-28,5,A,O,A.O,1.886,9.113997222,23.352,71.08861111
9735535,2010,148,2010-05-28,4,A,O,A.O,1.859,9.2177125,23.713,71.30930556
9735555,2010,148,2010-05-28,4,C,O,C.O,1.913,9.160318056,24.412,71.37263889
9735537,2010,148,2010-05-28,1,C,N,C.N,1.859,8.518698611,20.913,71.43041667
9735554,2010,148,2010-05-28,2,C,N,C.N,1.805,8.480119444,21.008,71.51833333
9735542,2010,148,2010-05-28,5,A,N,A.N,1.859,8.566336111,21.103,71.64291667
9735550,2010,148,2010-05-28,4,C,N,C.N,1.859,8.519615278,20.722,71.64791667
9735541,2010,148,2010-05-28,2,A,O,A.O,1.913,9.285938889,24.798,71.67069444
9735544,2010,148,2010-05-28,5,C,N,C.N,1.886,8.584681944,20.817,71.67569444
9735538,2010,148,2010-05-28,2,A,N,A.N,1.805,8.487638889,21.103,71.75861111
9735545,2010,148,2010-05-28,3,A,N,A.N,1.832,8.605547222,20.96,71.78222222
9735547,2010,148,2010-05-28,3,C,N,C.N,1.886,8.590068056,20.841,71.83666667
9735536,2010,148,2010-05-28,4,A,N,A.N,1.859,8.493195833,20.913,71.86138889
9735551,2010,148,2010-05-28,1,A,O,A.O,1.94,9.328920833,23.978,71.93833333
9735539,2010,148,2010-05-28,3,A,O,A.O,1.859,9.100858333,22.441,72.1475
9735534,2010,148,2010-05-28,1,A,N,A.N,1.859,8.424093056,20.96,72.19347222
9735548,2010,149,2010-05-29,5,A,O,A.O,1.778,11.65681111,22.034,68.115
9735555,2010,149,2010-05-29,4,C,O,C.O,1.859,11.4394,21.604,68.68652778
9735543,2010,149,2010-05-29,2,C,O,C.O,1.859,11.01012361,20.746,69.32972222
9735552,2010,149,2010-05-29,1,C,O,C.O,1.967,11.42929583,21.604,69.34027778
9735546,2010,149,2010-05-29,5,C,O,C.O,1.94,11.134375,20.936,69.76680556
9735541,2010,149,2010-05-29,2,A,O,A.O,1.859,11.00587083,20.46,69.93458333
9735535,2010,149,2010-05-29,4,A,O,A.O,1.778,10.50824167,20.603,70.64097222
9735553,2010,149,2010-05-29,3,C,O,C.O,1.859,10.78541389,21.079,71.22333333
9735551,2010,149,2010-05-29,1,A,O,A.O,1.886,10.63518194,20.055,71.8775
9735539,2010,149,2010-05-29,3,A,O,A.O,1.778,10.89389167,21.7,73.16583333
9735542,2010,149,2010-05-29,5,A,N,A.N,1.778,8.673402778,15.151,74.19694444
9735544,2010,149,2010-05-29,5,C,N,C.N,1.805,8.615580556,15.557,74.89208333
9735554,2010,149,2010-05-29,2,C,N,C.N,1.751,8.391651389,15.151,75.36722222
9735534,2010,149,2010-05-29,1,A,N,A.N,1.778,8.3159875,15.031,75.66125
9735537,2010,149,2010-05-29,1,C,N,C.N,1.778,8.067313889,14.314,75.75361111
9735536,2010,149,2010-05-29,4,A,N,A.N,1.778,8.149388889,14.505,75.81694444
9735547,2010,149,2010-05-29,3,C,N,C.N,1.805,8.220341667,14.936,75.96236111
9735550,2010,149,2010-05-29,4,C,N,C.N,1.778,8.087486111,14.529,76.02152778
9735538,2010,149,2010-05-29,2,A,N,A.N,1.751,7.877980556,14.05,76.49069444
9735545,2010,149,2010-05-29,3,A,N,A.N,1.778,8.001719444,14.337,76.54666667
9735535,2010,150,2010-05-30,4,A,O,A.O,2.209,14.16978472,25.695,55.21444444
9735537,2010,150,2010-05-30,1,C,N,C.N,2.53,12.62253333,20.198,55.57319444
9735550,2010,150,2010-05-30,4,C,N,C.N,2.396,12.62054167,20.055,55.70888889
9735543,2010,150,2010-05-30,2,C,O,C.O,1.859,14.61862917,26.549,55.72513889
9735554,2010,150,2010-05-30,2,C,N,C.N,2.37,12.53763472,20.317,55.835
9735544,2010,150,2010-05-30,5,C,N,C.N,2.53,12.61274722,20.627,55.86
9735546,2010,150,2010-05-30,5,C,O,C.O,2.45,14.88472639,26.965,55.93833333
9735553,2010,150,2010-05-30,3,C,O,C.O,1.967,14.88962917,27.554,56.08208333
9735538,2010,150,2010-05-30,2,A,N,A.N,2.77,12.61606389,20.46,56.09472222
9735547,2010,150,2010-05-30,3,C,N,C.N,2.584,12.69068333,20.46,56.10597222
9735534,2010,150,2010-05-30,1,A,N,A.N,2.744,12.51109861,20.103,56.17875
9735548,2010,150,2010-05-30,5,A,O,A.O,3.063,14.01152639,26.378,56.39930556
9735536,2010,150,2010-05-30,4,A,N,A.N,2.85,12.44055833,20.031,56.39972222
9735545,2010,150,2010-05-30,3,A,N,A.N,2.61,12.70741944,20.365,56.44236111
9735552,2010,150,2010-05-30,1,C,O,C.O,2.074,14.92242778,27.924,56.63111111
9735542,2010,150,2010-05-30,5,A,N,A.N,2.209,12.45131528,19.413,56.64444444
9735555,2010,150,2010-05-30,4,C,O,C.O,1.886,13.82796944,26.793,57.10638889
9735541,2010,150,2010-05-30,2,A,O,A.O,1.994,13.75841806,24.823,57.58416667
9735539,2010,150,2010-05-30,3,A,O,A.O,1.778,14.09248056,27.259,57.59152778
9735551,2010,150,2010-05-30,1,A,O,A.O,1.967,13.90883889,24.895,58.26333333
9735553,2010,151,2010-05-31,3,C,O,C.O,-1.814,8.241225,19.77,78.97944444
9735552,2010,151,2010-05-31,1,C,O,C.O,-1.699,8.317494444,19.817,79.02986111
9735546,2010,151,2010-05-31,5,C,O,C.O,-1.699,8.242518056,20.317,79.03722222
9735543,2010,151,2010-05-31,2,C,O,C.O,-1.756,8.044126389,19.579,79.14930556
9735535,2010,151,2010-05-31,4,A,O,A.O,-1.9,7.826276389,19.103,79.69305556
9735548,2010,151,2010-05-31,5,A,O,A.O,-1.9,7.911166667,20.579,79.77777778
9735555,2010,151,2010-05-31,4,C,O,C.O,-1.842,7.789183333,20.15,79.87736111
9735541,2010,151,2010-05-31,2,A,O,A.O,-1.785,7.760488889,19.413,80.57444444
9735539,2010,151,2010-05-31,3,A,O,A.O,-1.871,7.772866667,19.08,81.01638889
9735537,2010,151,2010-05-31,1,C,N,C.N,-1.958,6.5803625,15.629,81.23722222
